0,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…"
1,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
2,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
3,東建コーポレーション株式会社 | ◎平均年収819万円　◎全国採用実施中（自宅近くの拠点を考慮）,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※上記月給に固定残業代【47時間分（6万9,000円以上）】…"
4,UTコンストラクション株式会社 | ＜東証一部上場グループ＞大手グループ・安定基盤／土日休み,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
5,日本eリモデル株式会社 | 勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,[1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…
6,東京ビッグハウス株式会社 | 【TOKYO BIG HOUSE/東証一部上場ケイアイスター不動産グループ】,月給:30万円以上＋賞与年2回（6月・12月）※営業成績・顧客満足度等により算出 ※経験・年齢・能力など…
7,株式会社ワールドコーポレーション | 安定基盤・難しい仕事はありません！,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
8,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,"月給／314,000円〜453,000円 ＋ 完工手当など ※経験・スキルを考慮の上、当社規定により優遇します。 …"
9,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…
10,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
11,株式会社ワールドコーポレーション,"■月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ※上記固定残業代いず…"
12,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,"月給26万3,000円以上＋諸手当＋業績連動成果給＋賞与 ※上記月給に固定残業代【47時間分（6万9,000円以…"
13,UTコンストラクション株式会社 | 【東証一部上場企業グループ】6月・7月入社歓迎！,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
14,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,"月給26万3,000円以上＋諸手当＋業績連動成果給＋賞与 ※上記月給に固定残業代【47時間分（6万9,000円以…"
15,株式会社アキュラホーム | 大手企業の安定基盤／コロナ禍問わず、急成長中！,"【月給】250,000円〜376,000円＋報奨金(100万円以上も可能)＋各種手当 ※月30時間分の見込み残業手当（6…"
16,東建コーポレーション株式会社 | ＊年齢に関わらず『まだまだやれる』そんな職場環境があります＊,"月給26万3,000円以上＋諸手当＋業績連動成果給＋賞与 ※上記月給に固定残業代【47時間分（6万9,000円以…"
17,株式会社あったかハウスナビ | #大阪府緊急雇用対策に賛同#高いインセンティブ還元率が魅力,◆月給17万7千円〜＋残業代100％＋インセンティブ+賞与年2回 ※経験・スキルを考慮の上、決定します。 ※…
18,エーアイアールグループ合同募集 | ★中途採用者活躍中 ★平均年齢29歳 ★残業少なめ ★研修充実,"【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…"
19,株式会社マツイコーポレーション | 【未経験でも月給25万円以上！】大阪府緊急雇用対策に賛同,◆未経験／月給25万円〜＋賞与 ◆経験者／月給35万円〜50万円＋賞与 ※経験・能力等を考慮の上、当社規…
20,京成不動産株式会社 | 東証1部上場・京成電鉄グループ企業/完休2日/残業月30h以内,【1】月給25万〜38万円＋賞与年2回＋諸手当 ※年齢・経験・スキルを考慮し、加給・優遇します。 ※残業代…
21,株式会社一条工務店 | 戸建注文住宅の販売棟数No.1★コロナ禍でも受注数2019年比110％,月給21万7500円〜（営業手当一律2万4500円含む）＋インセンティブ ※試用期間3ヶ月、待遇同じ ※別途諸…
22,株式会社日商エステム | 年収1000万円超の社員多数／夏・冬で14連休程度の長期休暇あり！,月給30万円〜（一律手当含む） + 各種手当 + 賞与年2回 ※経験・能力・適性などを考慮のうえ、優遇いた…
23,株式会社あおぞら不動産管理 | 年収1000万円以上も可能！土日祝休み！年休126日！業績好調！,月給25万円以上＋インセンティブ ※実績に応じて、入社半年後に給与見直しの希望をうかがい、面談を設け…
24,株式会社グローバル・アーキテクト | コロナ禍でも業績絶好調◎さらなる成長を目指した増員募集です！,◆月給：28万円〜50万円＋各種手当＋賞与年2回 ※経験・年齢・スキルを考慮の上、当社規定により決定い…
25,株式会社ドリームホーム | 京都屈指の業績・創業12年目でグループ売上高170億円！,"月給／22万5,000円以上 ※試用期間2ヵ月。(その間の給与変動なし) ※経験・年齢を考慮の上、当社規定によ…"
26,泉北ホーム株式会社 | コロナ禍でも業績好調＆過去最高実績！半年以内に3店舗出店予定,月給：25万円〜38万円＋インセンティブ（高率歩合給） ※社用車貸与（自家用車持ち込みの場合は、基本給…
27,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…
28,株式会社岸田 | 宮崎県内外で案件増加中 ／ 東京・大阪など”全国”を舞台に活躍,月給23万円〜40万円 + 諸手当 ＜モデル月収例＞ 月収30万円／入社1年目／未経験スタート 月収35万円／入…
29,中国化工建設株式会社 | 【東証一部上場「ショーボンドホールディングス」グループ】,"月給：21万4,000円以上＋諸手当 ※年齢、経験、能力を考慮の上、優遇いたします ※試用期間6ヶ月（待遇…"
30,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,[経験者(管理職候補)] 月給45〜60万円＋手当 例)基本給60万＋資格手当2万＝月収62万円 年収744万円＋賞与…
31,株式会社インヴァランス | IoTを取り入れたマンションを展開★高インセンティブ制度有,月給：26万円 ＋ インセンティブ ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※固…
32,創建プランニング株式会社 | 頑張った分だけ収入アップ◎社員に還元する嬉しい体制を完備！,月給20万円〜 ＋ インセンティブ + 手当 ◎このほかに定期的な賞金制度など、成果に応じて給与がプラスさ…
33,株式会社メディオテクノ | #月8～10日休(完全週休2日)#若手活躍中#退職者は3年間ゼロ,"■月給26万円〜31万円(一律各種手当含む)＋稼動インセンティブ ※試用期間中(3ヶ月) 月給25万9,500円(イ…"
34,株式会社リロパートナーズ | 【リログループ】※(株)トキオランディックスへの出向です。,"月給251,000円以上＋賞与年2回＋報奨金 ※経験・年齢を考慮の上、 　当社規定に基づき決定します。 ※給…"
35,益三建設株式会社 | ＜設立50年！地域に愛された会社＞＊UIターン歓迎＊住宅手当あり,"月給 212,500円 〜 417,000円＋賞与年2回（昨年度実績3カ月分） ※スキル・経験を考慮の上、当社規定に…"
36,株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,"■月給21万円〜25万円＋業績給＋賞与年2回（基本給4ヵ月分） ※固定残業代（30時間分・3万9,400円〜）含…"
37,株式会社アキュラホーム | 「グッドデザイン賞」9年連続受賞,"【月給】470,000〜630,000円 ※試用期間：3ヶ月（処遇に変動はありません） ※給与は、経験・能力を総合…"
38,株式会社アキュラホーム,【固定月給】23万〜40.8万円 ※月30時間分の見込み残業手当（5万円〜7万5000円）含む 　超過分は別途支…
39,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…"
40,株式会社モリシン電気設備 | 週休2日／皆勤・家族手当など完備【大阪府緊急雇用対策に賛同】,月給30万円〜＋諸手当＋賞与年2回 ★前職給与を保証！★ 「給与が下がるかもしれないし、 　転職するの…
41,株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,"月給23万5,000円〜35万円＋インセンティブ＋諸手当＋賞与 ※年齢・経験・スキルを考慮の上、当社規定に…"
42,光電気工事株式会社 | 『年休120日～×最高の仲間×新社屋勤務』★年収700万も目指せる,月給20万円〜50万円（一律手当含む） ※上記月給は、経験、能力、年齢に応じて決定します。 ※経験者は前…
43,株式会社ユタカホーム | ★残業1日1H以下★転勤ナシ★定着率97％★未経験の先輩多数,◆月給：35万円以上+インセンティブ ◎経験・スキルに応じて優遇します。 ◎案件数に応じてインセンティ…
44,株式会社エコ・エー | 【環境職人】★寮完備（月3万円）★残業月10ｈ・直行直帰OK,日給1万3000円〜1万7000円 【収入例】月収29万9000円（未経験１ヶ月目） 未経験でも日給1万3000円×23日…
45,株式会社オープンハウス | 20代の管理職率76％◆年4回昇給&昇格のチャンス有,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…"
46,株式会社京進 | 東証二部上場,月給20万円以上 ※経験や能力を考慮の上、決定します。 ・・・独立後・・・ 【年間モデル収益】 年間…
47,株式会社サンゲル | 注目を集めるエコ商材を扱うスタートアップ企業｜残業少なめ,月給23万円(一律手当含む)〜+ 歩合給 + 各種手当 ★待遇条件の詳細については、面接でご相談ください！ …
48,株式会社エス・ビルド | ★未経験可 ★新規営業一切ナシ ★大手企業との取引多数 etc,"【東京】月給251,666円+賞与年2回+インセンティブ ※みなし残業30h/4万1666円含む。超過分は追加で支給 …"
49,赤門ウイレックス株式会社 | ◎若手限定募集 ◎5年前比120%成長 ◎未経験でも月給23万円～,"月給230,000円〜350,000円＋諸手当 ※あなたの年齢・経験などを考慮の上、優遇いたします。 ※試用期間3…"
0,赤門ウイレックス株式会社 | ◎賞与年4回　◎年休124日　◎5年前比120%成長,"月給247,000円〜350,000円(一律営業手当含む)＋諸手当 ※あなたの年齢・経験などを考慮の上、優遇いたし…"
1,アップワン株式会社 | 【IT × 課題解決】コロナ禍でも成長を続けるベンチャー企業,月給25万円〜＋インセンティブ ※研修期間あり（1〜6ヶ月） └期間中の給与は、【月給23万円＋インセンテ…
2,株式会社フィード | アパレルや美容業界、飲食店など異業種からの転職成功者多数！,"月給25万円以上＋高額インセンティブ＋諸手当＋賞与 ※営業手当として40時間（55,000円）分の残業代を含…"
3,株式会社京進 | 東証二部上場,【年間モデル収益】 年間平均生徒数が60名の場合 ◎年間売上／2733万円 ・授業料、入学料　他 ◎年間諸費…
4,佐藤建業株式会社 | 今年で創立61周年！杉並区・都内の地域に密着した工事事業を展開,"【未経験】月給28万円〜35万円 上記には固定残業代（70,000円〜87,500円/45時間分）を含む。 超過分別途…"
5,第一土地建物株式会社 | 【コロナ禍でも売上高UPの成長企業】★未経験人材を積極採用中★,月給25万円以上＋インセンティブ ※あなたの経験やスキルを考慮し優遇いたします！ ※上記には、固定残業…
6,アイアール株式会社 | #選べる勤務地&休日等#土日祝休み#育児休暇取得多数#WEB面接可能,月給28万円〜80万円+諸手当+賞与年2回 ★前職年収+120万円UPも可能！ 　経験によっては初任給月給80万円…
7,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…
8,株式会社novis | 【 高収入も目指せる転職先 】年休123日／賞与年2回＋決算賞与,月給23万円以上＋賞与年2回＋決算賞与 ※上記は最低保証金額です ※経験・能力を考慮の上、決定いたしま…
9,株式会社アップタウン | ★30年の歴史 ★転勤なし ★収入UPも可能 ★1から学べる職場,◆月給27万円以上＋歩合 ※研修3ヵ月有／月給25万円〜 ★経験・年齢を熟慮して決定 ★入社後は本人の希…
10,HULK建設株式会社 | あなたの成果をしっかり評価！業界高水準の給与をご用意します。,月給35万500円〜70万円＋毎月臨時ボーナス（20万円〜40万円頑張り次第で支給） ◆年収例 1級土木施工管…
11,株式会社ナチュレカード | 〈 建物検査事業 〉◎未経験歓迎 ◎男女・年齢・ブランク不問,完全出来高制（検査種別による） 報酬：2700円〜10700円／1件 ＜月収例＞ 月収50万円／検査数90件、日数…
12,株式会社日栄テック | 残業は月平均20時間以内でリフレッシュ休暇(5連休)も取得可能！,【未経験者】 月給27万円〜＋賞与(会社業績連動)＋諸手当 【経験者】 月給37万円〜＋賞与(会社業績連動)…
13,株式会社CREA HOME | 設立より3期連続で増収増益｜ゆくゆくは年収600万円以上も可能,"■月給25万円〜66万4,000円 ※経験、年齢、能力を考慮の上決定します ※上記月給には固定残業代45時間分…"
14,株式会社総合資格 | ◆業界トップクラスの実績／平均年収825万円／年間休日112日以上,"【月給】30万円〜35万5,300円 + 業績給 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※上記に…"
15,エントロス株式会社 | ★頑張りは給与でしっかり還元★【大阪府緊急雇用対策に賛同】,月給20万円〜24万円＋諸手当 ★頑張りに応じてしっかり昇給！ 【モデル年収例】 年収500万円／25歳・経…
16,フジミハウジング株式会社 | TV番組などメディア出演多数！★連休取得OK/退職金制度有,月給30万円〜50万円＋インセンティブ（歩合率20％）＋売上達成報奨金（年1回） ※固定残業代（7万239円…
17,リアルティ株式会社 | ★毎月インセン&賞与年2回★20代で営業所長の実績あり,月給 25万円〜50万円 ＋（毎月インセンティブ）＋（賞与年2回） ※上記は最低保証額となります。 これま…
18,大長産業株式会社 | 創業32年の安定企業／未経験歓迎／月給30万円～／40代以上活躍中,"月給30万円〜＋歩合給 ※月給30万円の場合、固定残業手当60時間分91,837円を含む。 ※上記時間を超えた…"
19,積水ハウス不動産中国四国株式会社 | 【中四国トップクラスの売上高・積水ハウスグループ】賞与年3回,"月給21万3,500円以上＋業績手当+残業手当＋賞与2回＋決算賞与 ※経験・能力等を考慮の上、決定します。 …"
20,株式会社浜石工務店 | TV・ラジオCMでもお馴染み！創業46年・正社員への登用実績多数◎,月給25万円＋各種手当＋歩合給＋賞与（年2回） 【モデル年収】 年収500万円／一般職 年収700万円／課長 …
21,大賀建設株式会社 | ★努力や成果を正当評価で収入に反映！年収1千万円超の実績あり,月給 22万円〜23万1000円 ＋(各種手当)＋(借上車両手当※月2万4000円)＋(インセンティブ） ※年齢やこれ…
22,株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ★寮完備,月給50万円〜85万円+残業手当 ※上記給与は最低支給額です。前職給・年齢・経験・能力などを考慮し、支…
23,株式会社レーベンゼストック | 東証一部上場・安定＆好待遇の「タカラレーベングループ」,月給21万2000円〜35万円＋残業代全額支給 ★高収入！35歳・550万円／39歳・830万円！ 頑張った分、しっ…
24,株式会社海山組 | ★入社祝い金最大30万円支給（※1）　※給与はご相談ください！,月給40万円〜 55万円 + 諸手当 ※今回の転職が不利にならないよう、あなたの年齢、経験、能力を考慮のう…
25,株式会社晃技開発 | 官公庁とも取引★昇給＋賞与年2回【大阪府緊急雇用対策に賛同】,◆月給28万円〜50万円＋賞与年2回 【経験者は前職給与を最大限考慮します】 ※給与は年齢・経験・能力を…
26,株式会社グリード | ＼ Web面接も可能 ／ 人気のエリア福岡でネクストキャリアを―！,月給23万円〜50万円 ＋ 諸手当 ＋ インセンティブ ※年齢、経験、能力を考慮の上、 　給与を決定いたし…
27,株式会社小宮測量 | ◆1日あたり11000円～⇒日給月給28.6万円～しっかり稼げる♪,日給月給28万6000円以上＋別途諸手当 【月収例】 月収31万2000円（入社2年目/未経験入社） 月収35万円（…
28,株式会社プログランス | 新サービス展開中！◆完全週休2日(土日祝)◆有給申請取得率100%,月給25万円〜40万円+インセンティブ 別途手当あり ※経験・年齢を考慮の上、当社規定により優遇します …
29,株式会社前原土建 | 【キャリアUPもOK】将来的には年収800～900万の大台も目指せる！,【月給】24万円〜45万円 ※前職での経験・能力・収入を考慮し決定します。 　上記はあくまで入社時の最低…
30,株式会社Fun Work | 国家資格・民間資格の取得をサポート！月収50万円以上も可能！,未経験の方／月給26万円以上 経験者の方／月給30万円以上 《月収例》 ・月収34万円 ★月収50万円以上も…
31,株式会社エム・シー・ピー | ★年齢不問★連続休暇取得も可★資格取得支援有★20～50代活躍中,【未経験者】月給28〜45万円 【経験者】月給35〜70万円 ※経験や前職の給与を考慮の上、決定いたします …
32,有限会社力工業 | ＜日払い・週払い相談OK＞複数資格の取得をサポート,【月給もしくは日給より選択】 [A]月給27万円〜51万円+各種手当+賞与年2回 [B]日給1万円〜2万円 ※あな…
33,株式会社エム・シー・ピー | ★基本定時退社★正当評価で年収1000万円も可能★昇給年4回,【経験者】月給34〜70万円 【未経験者】月給25〜40万円 ※経験や前職の給与を考慮の上、決定いたします …
34,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…"
35,有限会社高本鑑定事務所 | 【大阪府緊急雇用対策に賛同】月収50万超も可能｜完全週休2日,■月給18万〜22万円＋諸手当＋業績給 ※業績給があるため、月収50万超えも可能！ ※経験・能力・年齢を考…
36,株式会社サンライト | 茨城県水戸市に拠点を置いたリフォーム事業で、売上前年比139％,月給25万円以上＋インセンティブ ※試用期間3ヵ月あり（期間中に待遇の変動はございません） ※上記には…
37,"株式会社トータル | 賞与年2回＋決算賞与は8年連続で支給｜毎年5,000円以上昇給あり",未経験者：月給22万円〜60万円 経験者：月給35万円〜 ★前職給与を考慮します！ ※上記の基本給に諸手当…
38,株式会社カインドホーム宇都宮 | ★寮完備★日払いもOK★残業なし★WEBでの面接も可能！,月給30万円〜70万円＋売上に応じた高額歩合給 ※日払いも相談可能 ※試用期間3カ月は25万円
39,大洋建設株式会社 | ☆定着率高／週休2日☆大使館や消防庁、大手企業など取引多数！,＜業界未経験の方＞ 月給：26万円〜50万円 ＜業界経験ある方＞ 月給：30万円〜60万円 ※年齢・経験・ス…
40,株式会社千商 | 出退勤や工程管理をIT化！ドローンスクールへの通学も検討中,【未経験】 月給23万円〜36万円＋各種手当 【経験者】 月給30万円〜50万円＋各種手当 【モデル年収例】…
41,株式会社ファイン | 駅近 ＊ 面接保証 ＊ 未経験OK ＊ 20代社員活躍中,月給30万円以上 ★経験・能力をしっかり考慮！ ※試用期間最長3ヶ月あり（期間中は月給27万円）
42,東山管理センター株式会社 | 関西トップクラスの実績／資格手当など福利厚生充実,完全週休2日制…月給20〜29万円＋諸手当 週休2日制………月給23.5〜35万円＋諸手当 ※希望に応じて選択可…
43,松田土木工業株式会社 | 姫路密着／リピート多数／増収増益★7年連続決算賞与支給中,"【未経験者】月給27万円〜38万円 【経験者】月給31万9,000円〜40万5,000円 ※別途手当 ＋ 賞与年2回 ※経…"
